Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2022-01-12 12:00,Buy signal — close short,43580.63,22.376671,999600.1299,23620.8,2.36,789.92,111820.28,11.18,-3669.97,-0.37,23620.8,2.36,41
1,Entry short,2022-01-05 16:00,Sell,44671.53,22.376671,999600.1299,23620.8,2.36,789.92,111820.28,11.18,-3669.97,-0.37,23620.8,2.36,41
2,Exit long,2022-01-20 20:00,Sell signal — close long,41363.21,23.487541,1023601.834,-52879.79,-5.16,798.05,19854.9,1.94,-54825.14,-5.35,-29259,-2.93,50
2,Entry long,2022-01-12 12:00,Buy,43580.63,23.487541,1023601.834,-52879.79,-5.16,798.05,19854.9,1.94,-54825.14,-5.35,-29259,-2.93,50
3,Exit short,2022-01-26 08:00,Buy signal — close short,39423.93,23.468724,970741.7592,44754.04,4.61,758.39,136139.12,14.02,-7957.43,-0.82,15495.04,1.55,33
3,Entry short,2022-01-20 20:00,Sell,41363.21,23.468724,970741.7592,44754.04,4.61,758.39,136139.12,14.02,-7957.43,-0.82,15495.04,1.55,33
4,Exit long,2022-01-27 00:00,Sell signal — close long,35780.42,25.757437,1015459.393,-94622.3,-9.31,774.83,7552.35,0.74,-100439.57,-9.89,-79127.27,-7.91,4
4,Entry long,2022-01-26 08:00,Buy,39423.93,25.757437,1015459.393,-94622.3,-9.31,774.83,7552.35,0.74,-100439.57,-9.89,-79127.27,-7.91,4
5,Exit short,2022-02-04 12:00,Short SL,39358.49,25.7368,920873.5135,-92861.61,-10.08,773.53,5948.23,0.65,-92456.42,-10.04,-171988.88,-17.20,51
5,Entry short,2022-01-27 00:00,Sell,35780.42,25.7368,920873.5135,-92861.61,-10.08,773.53,5948.23,0.65,-92456.42,-10.04,-171988.88,-17.20,51
6,Exit long,2022-02-12 04:00,Sell signal — close long,42127.98,20.953002,827680.0372,54343.46,6.56,684.16,133034.16,16.07,-1042.22,-0.13,-117645.41,-11.76,46
6,Entry long,2022-02-04 12:00,Buy,39501.74,20.953002,827680.0372,54343.46,6.56,684.16,133034.16,16.07,-1042.22,-0.13,-117645.41,-11.76,46
7,Exit short,2022-02-15 08:00,Buy signal — close short,44271.04,20.944634,882355.1223,-45609.44,-5.17,723.84,11204.73,1.27,-49159.8,-5.57,-163254.86,-16.33,19
7,Entry short,2022-02-12 04:00,Sell,42127.98,20.944634,882355.1223,-45609.44,-5.17,723.84,11204.73,1.27,-49159.8,-5.57,-163254.86,-16.33,19
8,Exit long,2022-02-17 12:00,Sell signal — close long,41950.35,18.901334,836781.7136,-44516.02,-5.32,651.88,9215.56,1.10,-48407.42,-5.78,-207770.88,-20.78,13
8,Entry long,2022-02-15 08:00,Buy,44271.04,18.901334,836781.7136,-44516.02,-5.32,651.88,9215.56,1.10,-48407.42,-5.78,-207770.88,-20.78,13
9,Exit short,2022-02-24 20:00,Buy signal — close short,38353.03,18.884938,792229.7588,67328.55,8.50,606.61,143606.36,18.12,-3857.25,-0.49,-140442.33,-14.04,44
9,Entry short,2022-02-17 12:00,Sell,41950.35,18.884938,792229.7588,67328.55,8.50,606.61,143606.36,18.12,-3857.25,-0.49,-140442.33,-14.04,44
10,Exit long,2022-03-04 12:00,Sell signal — close long,40694.09,22.410327,859503.9437,51755.33,6.02,708.59,156521.31,18.20,-30278.4,-3.52,-88686.99,-8.87,46
10,Entry long,2022-02-24 20:00,Buy,38353.03,22.410327,859503.9437,51755.33,6.02,708.59,156521.31,18.20,-30278.4,-3.52,-88686.99,-8.87,46
11,Exit short,2022-03-09 00:00,Buy signal — close short,41225.52,22.394252,911313.7064,-12634.79,-1.39,733.81,78625.15,8.62,-17161.11,-1.88,-101321.78,-10.13,27
11,Entry short,2022-03-04 12:00,Sell,40694.09,22.394252,911313.7064,-12634.79,-1.39,733.81,78625.15,8.62,-17161.11,-1.88,-101321.78,-10.13,27
12,Exit long,2022-03-10 08:00,Sell signal — close long,39098.89,21.799324,898688.4675,-47059.5,-5.23,700.41,29443.69,3.27,-53094.44,-5.91,-148381.28,-14.84,8
12,Entry long,2022-03-09 00:00,Buy,41225.52,21.799324,898688.4675,-47059.5,-5.23,700.41,29443.69,3.27,-53094.44,-5.91,-148381.28,-14.84,8
13,Exit short,2022-03-16 08:00,Buy signal — close short,40552.68,21.781166,851619.4135,-32359.2,-3.80,693.96,32904.82,3.86,-57090.39,-6.70,-180740.48,-18.07,36
13,Entry short,2022-03-10 08:00,Sell,39098.89,21.781166,851619.4135,-32359.2,-3.80,693.96,32904.82,3.86,-57090.39,-6.70,-180740.48,-18.07,36
14,Exit long,2022-03-31 16:00,Sell signal — close long,45610.93,20.202993,819285.5102,101495.48,12.38,696.31,154634.9,18.87,-24907.08,-3.04,-79245,-7.92,92
14,Entry long,2022-03-16 08:00,Buy,40552.68,20.202993,819285.5102,101495.48,12.38,696.31,154634.9,18.87,-24907.08,-3.04,-79245,-7.92,92
15,Exit short,2022-04-18 16:00,Buy signal — close short,40686.12,20.187172,920755.689,98721.15,10.72,696.84,142039.08,15.42,-37608.99,-4.08,19476.15,1.95,108
15,Entry short,2022-03-31 16:00,Sell,45610.93,20.187172,920755.689,98721.15,10.72,696.84,142039.08,15.42,-37608.99,-4.08,19476.15,1.95,108
16,Exit long,2022-04-21 20:00,Sell signal — close long,40481.13,25.055161,1019397.287,-5949.52,-0.58,813.46,56924.46,5.58,-23165.36,-2.27,13526.63,1.35,19
16,Entry long,2022-04-18 16:00,Buy,40686.12,25.055161,1019397.287,-5949.52,-0.58,813.46,56924.46,5.58,-23165.36,-2.27,13526.63,1.35,19
17,Exit short,2022-04-25 20:00,Buy signal — close short,40440.57,25.037033,1013527.388,205.09,0.02,810.42,56431.66,5.57,-8262.03,-0.81,13731.71,1.37,24
17,Entry short,2022-04-21 20:00,Sell,40481.13,25.037033,1013527.388,205.09,0.02,810.42,56431.66,5.57,-8262.03,-0.81,13731.71,1.37,24
18,Exit long,2022-04-26 12:00,Sell signal — close long,38574.79,25.067196,1013731.695,-47562.15,-4.69,792.28,8464.79,0.83,-47913.09,-4.72,-33830.44,-3.38,4
18,Entry long,2022-04-25 20:00,Buy,40440.57,25.067196,1013731.695,-47562.15,-4.69,792.28,8464.79,0.83,-47913.09,-4.72,-33830.44,-3.38,4
19,Exit short,2022-05-04 16:00,Buy signal — close short,39840.5,25.046678,966170.344,-32487.45,-3.36,785.62,28956.97,3.00,-45512.57,-4.71,-66317.88,-6.63,49
19,Entry short,2022-04-26 12:00,Sell,38574.79,25.046678,966170.344,-32487.45,-3.36,785.62,28956.97,3.00,-45512.57,-4.71,-66317.88,-6.63,49
20,Exit long,2022-05-05 12:00,Sell signal — close long,36913.97,23.436158,933708.2528,-69306.15,-7.42,719.53,1451.26,0.16,-77706.95,-8.32,-135624.03,-13.56,5
20,Entry long,2022-05-04 16:00,Buy,39840.5,23.436158,933708.2528,-69306.15,-7.42,719.53,1451.26,0.16,-77706.95,-8.32,-135624.03,-13.56,5
21,Exit short,2022-05-30 00:00,Buy signal — close short,30338.84,23.415978,864376.7094,153333.19,17.73,629.92,270070.16,31.23,-9923.82,-1.15,17709.15,1.77,147
21,Entry short,2022-05-05 12:00,Sell,36913.97,23.415978,864376.7094,153333.19,17.73,629.92,270070.16,31.23,-9923.82,-1.15,17709.15,1.77,147
22,Exit long,2022-06-01 16:00,Sell signal — close long,30097.26,33.540726,1017586.72,-8913.6,-0.88,810.83,68207.23,6.70,-16356.99,-1.61,8795.55,0.88,16
22,Entry long,2022-05-30 00:00,Buy,30338.84,33.540726,1017586.72,-8913.6,-0.88,810.83,68207.23,6.70,-16356.99,-1.61,8795.55,0.88,16
23,Exit short,2022-06-06 00:00,Buy signal — close short,31228.56,33.517884,1008796.469,-38740.99,-3.84,822.2,28360.52,2.81,-38742.61,-3.84,-29945.44,-2.99,26
23,Entry short,2022-06-01 16:00,Sell,30097.26,33.517884,1008796.469,-38740.99,-3.84,822.2,28360.52,2.81,-38742.61,-3.84,-29945.44,-2.99,26
24,Exit long,2022-06-07 00:00,Sell signal — close long,29563.53,31.06406,970085.8616,-52477.97,-5.41,755.38,15407.42,1.59,-63443.73,-6.54,-82423.41,-8.24,6
24,Entry long,2022-06-06 00:00,Buy,31228.56,31.06406,970085.8616,-52477.97,-5.41,755.38,15407.42,1.59,-63443.73,-6.54,-82423.41,-8.24,6
25,Exit short,2022-06-18 04:00,Short TP,19216.29,31.037481,917577.5007,320546.66,34.92,605.6,320785.22,34.95,-61947.57,-6.75,238123.25,23.81,67
25,Entry short,2022-06-07 00:00,Sell,29563.53,31.037481,917577.5007,320546.66,34.92,605.6,320785.22,34.95,-61947.57,-6.75,238123.25,23.81,67
26,Exit long,2022-06-28 16:00,Sell signal — close long,20234.32,58.589583,1237628.189,-53077.08,-4.29,969.26,43101.46,3.48,-80939.13,-6.54,185046.17,18.50,45
26,Entry long,2022-06-21 04:00,Buy,21123.69,58.589583,1237628.189,-53077.08,-4.29,969.26,43101.46,3.48,-80939.13,-6.54,185046.17,18.50,45
