Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2023-01-14 08:00,Long SL/Trail,20256.5,59.291184,999600.1506,200551.47,20.06,880.25,264246.94,26.42,-11034.31,-1.10,200551.47,20.06,62
1,Entry long,2023-01-04 00:00,Buy,16859.17,59.291184,999600.1506,200551.47,20.06,880.25,264246.94,26.42,-11034.31,-1.10,200551.47,20.06,62
2,Exit short,2023-02-01 20:00,Buy signal — close short,23729.88,52.67001,1200071.43,-50761.55,-4.23,979.97,14056.37,1.17,-54237.68,-4.52,149789.9,14.98,13
2,Entry short,2023-01-30 16:00,Sell,22784.72,52.67001,1200071.43,-50761.55,-4.23,979.97,14056.37,1.17,-54237.68,-4.52,149789.9,14.98,13
3,Exit long,2023-02-05 16:00,Sell signal — close long,22901.8,48.455029,1149832.024,-41028.46,-3.57,903.82,25136.92,2.19,-47161.86,-4.10,108761.45,10.88,23
3,Entry long,2023-02-01 20:00,Buy,23729.88,48.455029,1149832.024,-41028.46,-3.57,903.82,25136.92,2.19,-47161.86,-4.10,108761.45,10.88,23
4,Exit short,2023-02-14 16:00,Buy signal — close short,22217.71,48.413826,1108763.76,32245.65,2.91,873.76,73451,6.62,-26715.75,-2.41,141007.11,14.10,54
4,Entry short,2023-02-05 16:00,Sell,22901.8,48.413826,1108763.76,32245.65,2.91,873.76,73451,6.62,-26715.75,-2.41,141007.11,14.10,54
5,Exit long,2023-02-16 20:00,Long SL/Trail,23987.16,51.354658,1140982.899,89920.37,7.88,949.13,155249.9,13.60,-8536.53,-0.75,230927.47,23.09,13
5,Entry long,2023-02-14 16:00,Buy,22217.71,51.354658,1140982.899,89920.37,7.88,949.13,155249.9,13.60,-8536.53,-0.75,230927.47,23.09,13
6,Exit short,2023-03-11 00:00,Short SL/Trail,20547.49,52.314848,1230435.285,154574.31,12.56,922.15,206193.84,16.75,-91230.71,-7.41,385501.78,38.55,133
6,Entry short,2023-02-16 20:00,Sell,23519.81,52.314848,1230435.285,154574.31,12.56,922.15,206193.84,16.75,-91230.71,-7.41,385501.78,38.55,133
7,Exit long,2023-03-14 16:00,Long SL/Trail,25205.35,65.279106,1384947.804,259222.78,18.71,1212.13,346482.8,25.01,-2533.89,-0.18,644724.56,64.47,12
7,Entry long,2023-03-12 16:00,Buy,21215.79,65.279106,1384947.804,259222.78,18.71,1212.13,346482.8,25.01,-2533.89,-0.18,644724.56,64.47,12
8,Exit short,2023-03-29 08:00,Buy signal — close short,28357.04,61.53689,1644066.937,-102292.74,-6.22,1355.63,10520.55,0.64,-129603.26,-7.88,542431.8,54.24,40
8,Entry short,2023-03-22 16:00,Sell,26716.77,61.53689,1644066.937,-102292.74,-6.22,1355.63,10520.55,0.64,-129603.26,-7.88,542431.8,54.24,40
9,Exit long,2023-04-17 04:00,Sell signal — close long,29858.47,54.396202,1542515.276,80405.41,5.21,1266.68,145501.53,9.43,-61471.67,-3.98,622837.25,62.28,113
9,Entry long,2023-03-29 08:00,Buy,28357.04,54.396202,1542515.276,80405.41,5.21,1266.68,145501.53,9.43,-61471.67,-3.98,622837.25,62.28,113
10,Exit short,2023-04-18 08:00,Buy signal — close short,30371.17,54.351075,1622839.942,-29175.21,-1.80,1309.42,39162.48,2.41,-28716.03,-1.77,593662,59.37,7
10,Entry short,2023-04-17 04:00,Sell,29858.47,54.351075,1622839.942,-29175.21,-1.80,1309.42,39162.48,2.41,-28716.03,-1.77,593662,59.37,7
11,Exit long,2023-04-19 08:00,Sell signal — close long,29321.42,52.473678,1593686.995,-56337.16,-3.53,1252.92,4599.92,0.29,-72119.22,-4.52,537324.9,53.73,6
11,Entry long,2023-04-18 08:00,Buy,30371.17,52.473678,1593686.995,-56337.16,-3.53,1252.92,4599.92,0.29,-72119.22,-4.52,537324.9,53.73,6
12,Exit short,2023-04-25 20:00,Short SL/Trail,28327.5,52.430184,1537327.446,50902.39,3.31,1209.02,122223.23,7.95,-10839.86,-0.70,588227.25,58.82,39
12,Entry short,2023-04-19 08:00,Sell,29321.42,52.430184,1537327.446,50902.39,3.31,1209.02,122223.23,7.95,-10839.86,-0.70,588227.25,58.82,39
13,Exit long,2023-04-26 16:00,Long SL/Trail,28520.85,56.062234,1587592.207,10075.75,0.63,1274.61,94872.59,5.97,-1166.51,-0.07,598303,59.83,4
13,Entry long,2023-04-26 00:00,Buy,28318.39,56.062234,1587592.207,10075.75,0.63,1274.61,94872.59,5.97,-1166.51,-0.07,598303,59.83,4
14,Exit short,2023-05-05 00:00,Buy signal — close short,29204.37,57.27328,1597663.919,-76274.26,-4.77,1308.12,36847.44,2.31,-119034.39,-7.45,522028.75,52.20,50
14,Entry short,2023-04-26 16:00,Sell,27895.45,57.27328,1597663.919,-76274.26,-4.77,1308.12,36847.44,2.31,-119034.39,-7.45,522028.75,52.20,50
15,Exit long,2023-05-07 20:00,Sell signal — close long,28462.85,52.118612,1522091.229,-39849.21,-2.62,1202.21,32542.25,2.14,-42344.9,-2.78,482179.53,48.22,17
15,Entry long,2023-05-05 00:00,Buy,29204.37,52.118612,1522091.229,-39849.21,-2.62,1202.21,32542.25,2.14,-42344.9,-2.78,482179.53,48.22,17
16,Exit short,2023-05-14 12:00,Short SL/Trail,27118.5,52.074269,1482182.107,68848.3,4.64,1157.74,136661.88,9.22,-11131.14,-0.75,551027.8,55.10,40
16,Entry short,2023-05-07 20:00,Sell,28462.85,52.074269,1482182.107,68848.3,4.64,1157.74,136661.88,9.22,-11131.14,-0.75,551027.8,55.10,40
17,Exit long,2023-05-24 12:00,Sell signal — close long,26306.99,56.640634,1550407.649,-61579.24,-3.97,1216.18,5475.5,0.35,-74048.52,-4.77,489448.6,48.94,9
17,Entry long,2023-05-23 00:00,Buy,27372.71,56.640634,1550407.649,-61579.24,-3.97,1216.18,5475.5,0.35,-74048.52,-4.77,489448.6,48.94,9
18,Exit short,2023-05-28 00:00,Buy signal — close short,27195.17,56.618073,1489451.08,-51498.71,-3.46,1211.68,23780,1.60,-53743.73,-3.61,437949.88,43.79,21
18,Entry short,2023-05-24 12:00,Sell,26306.99,56.618073,1489451.08,-51498.71,-3.46,1211.68,23780,1.60,-53743.73,-3.61,437949.88,43.79,21
19,Exit long,2023-05-31 04:00,Long SL/Trail,27034.99,52.876773,1437992.831,-9616.81,-0.67,1147.01,66195.48,4.60,-9045,-0.63,428333.06,42.83,19
19,Entry long,2023-05-28 00:00,Buy,27195.17,52.876773,1437992.831,-9616.81,-0.67,1147.01,66195.48,4.60,-9045,-0.63,428333.06,42.83,19
